Date,Week,Month,Trimester,Semester,Year
2022-05-04,18,5,2,2,2022
2022-05-05,18,5,2,2,2022
2022-05-06,18,5,2,2,2022
2022-05-07,18,5,2,2,2022
2022-05-08,18,5,2,2,2022
2022-05-09,19,5,2,2,2022
2022-05-10,19,5,2,2,2022
2022-05-11,19,5,2,2,2022
2022-05-12,19,5,2,2,2022
2022-05-13,19,5,2,2,2022
2022-05-14,19,5,2,2,2022
2022-05-15,19,5,2,2,2022
2022-05-16,20,5,2,2,2022
2022-05-17,20,5,2,2,2022
2022-05-18,20,5,2,2,2022
2022-05-19,20,5,2,2,2022
2022-05-20,20,5,2,2,2022
2022-05-21,20,5,2,2,2022
2022-05-22,20,5,2,2,2022
2022-05-23,21,5,2,2,2022
2022-05-24,21,5,2,2,2022
2022-05-25,21,5,2,2,2022
2022-05-26,21,5,2,2,2022
2022-05-27,21,5,2,2,2022
2022-05-28,21,5,2,2,2022
2022-05-29,21,5,2,2,2022
2022-05-30,22,5,2,2,2022
2022-05-31,22,5,2,2,2022
2022-06-01,22,6,2,2,2022
2022-06-02,22,6,2,2,2022
2022-06-03,22,6,2,2,2022
2022-06-04,22,6,2,2,2022
2022-06-05,22,6,2,2,2022
2022-06-06,23,6,2,2,2022
2022-06-07,23,6,2,2,2022
2022-06-08,23,6,2,2,2022
2022-06-09,23,6,2,2,2022
2022-06-10,23,6,2,2,2022
2022-06-11,23,6,2,2,2022
2022-06-12,23,6,2,2,2022
2022-06-13,24,6,2,2,2022
2022-06-14,24,6,2,2,2022
2022-06-15,24,6,2,2,2022
2022-06-16,24,6,2,2,2022
2022-06-17,24,6,2,2,2022
2022-06-18,24,6,2,2,2022
2022-06-19,24,6,2,2,2022
2022-06-20,25,6,2,2,2022
2022-06-21,25,6,2,2,2022
2022-06-22,25,6,2,2,2022
2022-06-23,25,6,2,2,2022
2022-06-24,25,6,2,2,2022
2022-06-25,25,6,2,2,2022
2022-06-26,25,6,2,2,2022
2022-06-27,26,6,2,2,2022
2022-06-28,26,6,2,2,2022
2022-06-29,26,6,2,2,2022
2022-06-30,26,6,2,2,2022
2022-07-01,26,7,3,1,2022
2022-07-02,26,7,3,1,2022
2022-07-03,26,7,3,1,2022
2022-07-04,27,7,3,1,2022
2022-07-05,27,7,3,1,2022
2022-07-06,27,7,3,1,2022
2022-07-07,27,7,3,1,2022
2022-07-08,27,7,3,1,2022
2022-07-09,27,7,3,1,2022
2022-07-10,27,7,3,1,2022
2022-07-11,28,7,3,1,2022
2022-07-12,28,7,3,1,2022
2022-07-13,28,7,3,1,2022
2022-07-14,28,7,3,1,2022
2022-07-15,28,7,3,1,2022
2022-07-16,28,7,3,1,2022
2022-07-17,28,7,3,1,2022
2022-07-18,29,7,3,1,2022
2022-07-19,29,7,3,1,2022
2022-07-20,29,7,3,1,2022
2022-07-21,29,7,3,1,2022
2022-07-22,29,7,3,1,2022
2022-07-23,29,7,3,1,2022
2022-07-24,29,7,3,1,2022
2022-07-25,30,7,3,1,2022
2022-07-26,30,7,3,1,2022
2022-07-27,30,7,3,1,2022
2022-07-28,30,7,3,1,2022
2022-07-29,30,7,3,1,2022
2022-07-30,30,7,3,1,2022
2022-07-31,30,7,3,1,2022
2022-08-01,31,8,3,1,2022
2022-08-02,31,8,3,1,2022
2022-08-03,31,8,3,1,2022
2022-08-04,31,8,3,1,2022
2022-08-05,31,8,3,1,2022
2022-08-06,31,8,3,1,2022
2022-08-07,31,8,3,1,2022
2022-08-08,32,8,3,1,2022
2022-08-09,32,8,3,1,2022
2022-08-10,32,8,3,1,2022
2022-08-11,32,8,3,1,2022
2022-08-12,32,8,3,1,2022
2022-08-13,32,8,3,1,2022
2022-08-14,32,8,3,1,2022
2022-08-15,33,8,3,1,2022
2022-08-16,33,8,3,1,2022
2022-08-17,33,8,3,1,2022
2022-08-18,33,8,3,1,2022
2022-08-19,33,8,3,1,2022
2022-08-20,33,8,3,1,2022
2022-08-21,33,8,3,1,2022
2022-08-22,34,8,3,1,2022
2022-08-23,34,8,3,1,2022
2022-08-24,34,8,3,1,2022
2022-08-25,34,8,3,1,2022
2022-08-26,34,8,3,1,2022
2022-08-27,34,8,3,1,2022
2022-08-28,34,8,3,1,2022
2022-08-29,35,8,3,1,2022
2022-08-30,35,8,3,1,2022
2022-08-31,35,8,3,1,2022
2022-09-01,35,9,3,1,2022
2022-09-02,35,9,3,1,2022
2022-09-03,35,9,3,1,2022
2022-09-04,35,9,3,1,2022
2022-09-05,36,9,3,1,2022
2022-09-06,36,9,3,1,2022
2022-09-07,36,9,3,1,2022
2022-09-08,36,9,3,1,2022
2022-09-09,36,9,3,1,2022
2022-09-10,36,9,3,1,2022
2022-09-11,36,9,3,1,2022
2022-09-12,37,9,3,1,2022
2022-09-13,37,9,3,1,2022
2022-09-14,37,9,3,1,2022
2022-09-15,37,9,3,1,2022
2022-09-16,37,9,3,1,2022
2022-09-17,37,9,3,1,2022
2022-09-18,37,9,3,1,2022
2022-09-19,38,9,3,1,2022
2022-09-20,38,9,3,1,2022
2022-09-21,38,9,3,1,2022
2022-09-22,38,9,3,1,2022
2022-09-23,38,9,3,1,2022
2022-09-24,38,9,3,1,2022
2022-09-25,38,9,3,1,2022
2022-09-26,39,9,3,1,2022
2022-09-27,39,9,3,1,2022
2022-09-28,39,9,3,1,2022
2022-09-29,39,9,3,1,2022
2022-09-30,39,9,3,1,2022
2022-10-01,39,10,4,1,2022
2022-10-02,39,10,4,1,2022
2022-10-03,40,10,4,1,2022
2022-10-04,40,10,4,1,2022
2022-10-05,40,10,4,1,2022
2022-10-06,40,10,4,1,2022
2022-10-07,40,10,4,1,2022
2022-10-08,40,10,4,1,2022
2022-10-09,40,10,4,1,2022
2022-10-10,41,10,4,1,2022
2022-10-11,41,10,4,1,2022
2022-10-12,41,10,4,1,2022
2022-10-13,41,10,4,1,2022
2022-10-14,41,10,4,1,2022
2022-10-15,41,10,4,1,2022
2022-10-16,41,10,4,1,2022
2022-10-17,42,10,4,1,2022
2022-10-18,42,10,4,1,2022
2022-10-19,42,10,4,1,2022
2022-10-20,42,10,4,1,2022
2022-10-21,42,10,4,1,2022
2022-10-22,42,10,4,1,2022
2022-10-23,42,10,4,1,2022
2022-10-24,43,10,4,1,2022
2022-10-25,43,10,4,1,2022
2022-10-26,43,10,4,1,2022
2022-10-27,43,10,4,1,2022
2022-10-28,43,10,4,1,2022
2022-10-29,43,10,4,1,2022
2022-10-30,43,10,4,1,2022
2022-10-31,44,10,4,1,2022
2022-11-01,44,11,4,1,2022
2022-11-02,44,11,4,1,2022
2022-11-03,44,11,4,1,2022
2022-11-04,44,11,4,1,2022
2022-11-05,44,11,4,1,2022
2022-11-06,44,11,4,1,2022
2022-11-07,45,11,4,1,2022
2022-11-08,45,11,4,1,2022
2022-11-09,45,11,4,1,2022
2022-11-10,45,11,4,1,2022
2022-11-11,45,11,4,1,2022
2022-11-12,45,11,4,1,2022
2022-11-13,45,11,4,1,2022
2022-11-14,46,11,4,1,2022
2022-11-15,46,11,4,1,2022
2022-11-16,46,11,4,1,2022
2022-11-17,46,11,4,1,2022
2022-11-18,46,11,4,1,2022
2022-11-19,46,11,4,1,2022
2022-11-20,46,11,4,1,2022
2022-11-21,47,11,4,1,2022
2022-11-22,47,11,4,1,2022
2022-11-23,47,11,4,1,2022
2022-11-24,47,11,4,1,2022
2022-11-25,47,11,4,1,2022
2022-11-26,47,11,4,1,2022
2022-11-27,47,11,4,1,2022
2022-11-28,48,11,4,1,2022
2022-11-29,48,11,4,1,2022
2022-11-30,48,11,4,1,2022
2022-12-01,48,12,4,1,2022
2022-12-02,48,12,4,1,2022
2022-12-03,48,12,4,1,2022
2022-12-04,48,12,4,1,2022
2022-12-05,49,12,4,1,2022
2022-12-06,49,12,4,1,2022
2022-12-07,49,12,4,1,2022
2022-12-08,49,12,4,1,2022
2022-12-09,49,12,4,1,2022
2022-12-10,49,12,4,1,2022
2022-12-11,49,12,4,1,2022
2022-12-12,50,12,4,1,2022
2022-12-13,50,12,4,1,2022
2022-12-14,50,12,4,1,2022
2022-12-15,50,12,4,1,2022
2022-12-16,50,12,4,1,2022
2022-12-17,50,12,4,1,2022
2022-12-18,50,12,4,1,2022
2022-12-19,51,12,4,1,2022
2022-12-20,51,12,4,1,2022
2022-12-21,51,12,4,1,2022
2022-12-22,51,12,4,1,2022
2022-12-23,51,12,4,1,2022
2022-12-24,51,12,4,1,2022
2022-12-25,51,12,4,1,2022
2022-12-26,52,12,4,1,2022
2022-12-27,52,12,4,1,2022
2022-12-28,52,12,4,1,2022
2022-12-29,52,12,4,1,2022
2022-12-30,52,12,4,1,2022
2022-12-31,52,12,4,1,2022
2023-01-01,52,1,1,2,2023
2023-01-02,1,1,1,2,2023
2023-01-03,1,1,1,2,2023
2023-01-04,1,1,1,2,2023
2023-01-05,1,1,1,2,2023
2023-01-06,1,1,1,2,2023
2023-01-07,1,1,1,2,2023
2023-01-08,1,1,1,2,2023
2023-01-09,2,1,1,2,2023
2023-01-10,2,1,1,2,2023
2023-01-11,2,1,1,2,2023
2023-01-12,2,1,1,2,2023
2023-01-13,2,1,1,2,2023
2023-01-14,2,1,1,2,2023
2023-01-15,2,1,1,2,2023
2023-01-16,3,1,1,2,2023
2023-01-17,3,1,1,2,2023
2023-01-18,3,1,1,2,2023
2023-01-19,3,1,1,2,2023
2023-01-20,3,1,1,2,2023
2023-01-21,3,1,1,2,2023
2023-01-22,3,1,1,2,2023
2023-01-23,4,1,1,2,2023
2023-01-24,4,1,1,2,2023
2023-01-25,4,1,1,2,2023
2023-01-26,4,1,1,2,2023
2023-01-27,4,1,1,2,2023
2023-01-28,4,1,1,2,2023
2023-01-29,4,1,1,2,2023
2023-01-30,5,1,1,2,2023
2023-01-31,5,1,1,2,2023
2023-02-01,5,2,1,2,2023
2023-02-02,5,2,1,2,2023
2023-02-03,5,2,1,2,2023
2023-02-04,5,2,1,2,2023
2023-02-05,5,2,1,2,2023
2023-02-06,6,2,1,2,2023
2023-02-07,6,2,1,2,2023
2023-02-08,6,2,1,2,2023
2023-02-09,6,2,1,2,2023
2023-02-10,6,2,1,2,2023
2023-02-11,6,2,1,2,2023
2023-02-12,6,2,1,2,2023
2023-02-13,7,2,1,2,2023
2023-02-14,7,2,1,2,2023
2023-02-15,7,2,1,2,2023
2023-02-16,7,2,1,2,2023
2023-02-17,7,2,1,2,2023
2023-02-18,7,2,1,2,2023
2023-02-19,7,2,1,2,2023
2023-02-20,8,2,1,2,2023
2023-02-21,8,2,1,2,2023
2023-02-22,8,2,1,2,2023
2023-02-23,8,2,1,2,2023
2023-02-24,8,2,1,2,2023
2023-02-25,8,2,1,2,2023
2023-02-26,8,2,1,2,2023
2023-02-27,9,2,1,2,2023
2023-02-28,9,2,1,2,2023
2023-03-01,9,3,1,2,2023
2023-03-02,9,3,1,2,2023
2023-03-03,9,3,1,2,2023
2023-03-04,9,3,1,2,2023
2023-03-05,9,3,1,2,2023
2023-03-06,10,3,1,2,2023
2023-03-07,10,3,1,2,2023
2023-03-08,10,3,1,2,2023
2023-03-09,10,3,1,2,2023
2023-03-10,10,3,1,2,2023
2023-03-11,10,3,1,2,2023
2023-03-12,10,3,1,2,2023
2023-03-13,11,3,1,2,2023
2023-03-14,11,3,1,2,2023
2023-03-15,11,3,1,2,2023
2023-03-16,11,3,1,2,2023
2023-03-17,11,3,1,2,2023
2023-03-18,11,3,1,2,2023
2023-03-19,11,3,1,2,2023
2023-03-20,12,3,1,2,2023
2023-03-21,12,3,1,2,2023
2023-03-22,12,3,1,2,2023
2023-03-23,12,3,1,2,2023
2023-03-24,12,3,1,2,2023
2023-03-25,12,3,1,2,2023
2023-03-26,12,3,1,2,2023
2023-03-27,13,3,1,2,2023
2023-03-28,13,3,1,2,2023
2023-03-29,13,3,1,2,2023
2023-03-30,13,3,1,2,2023
2023-03-31,13,3,1,2,2023
2023-04-01,13,4,2,2,2023
2023-04-02,13,4,2,2,2023
2023-04-03,14,4,2,2,2023
2023-04-04,14,4,2,2,2023
2023-04-05,14,4,2,2,2023
2023-04-06,14,4,2,2,2023
2023-04-07,14,4,2,2,2023
2023-04-08,14,4,2,2,2023
2023-04-09,14,4,2,2,2023
2023-04-10,15,4,2,2,2023
2023-04-11,15,4,2,2,2023
2023-04-12,15,4,2,2,2023
2023-04-13,15,4,2,2,2023
2023-04-14,15,4,2,2,2023
2023-04-15,15,4,2,2,2023
2023-04-16,15,4,2,2,2023
2023-04-17,16,4,2,2,2023
2023-04-18,16,4,2,2,2023
2023-04-19,16,4,2,2,2023
2023-04-20,16,4,2,2,2023
2023-04-21,16,4,2,2,2023
2023-04-22,16,4,2,2,2023
2023-04-23,16,4,2,2,2023
2023-04-24,17,4,2,2,2023
2023-04-25,17,4,2,2,2023
2023-04-26,17,4,2,2,2023
2023-04-27,17,4,2,2,2023
2023-04-28,17,4,2,2,2023
2023-04-29,17,4,2,2,2023
2023-04-30,17,4,2,2,2023
2023-05-01,18,5,2,2,2023
2023-05-02,18,5,2,2,2023
2023-05-03,18,5,2,2,2023
2023-05-04,18,5,2,2,2023
2023-05-05,18,5,2,2,2023
2023-05-06,18,5,2,2,2023
2023-05-07,18,5,2,2,2023
2023-05-08,19,5,2,2,2023
2023-05-09,19,5,2,2,2023
2023-05-10,19,5,2,2,2023
2023-05-11,19,5,2,2,2023
2023-05-12,19,5,2,2,2023
2023-05-13,19,5,2,2,2023
2023-05-14,19,5,2,2,2023
2023-05-15,20,5,2,2,2023
2023-05-16,20,5,2,2,2023
2023-05-17,20,5,2,2,2023
2023-05-18,20,5,2,2,2023
2023-05-19,20,5,2,2,2023
2023-05-20,20,5,2,2,2023
2023-05-21,20,5,2,2,2023
2023-05-22,21,5,2,2,2023
2023-05-23,21,5,2,2,2023
2023-05-24,21,5,2,2,2023
2023-05-25,21,5,2,2,2023
2023-05-26,21,5,2,2,2023
2023-05-27,21,5,2,2,2023
2023-05-28,21,5,2,2,2023
2023-05-29,22,5,2,2,2023
2023-05-30,22,5,2,2,2023
2023-05-31,22,5,2,2,2023
2023-06-01,22,6,2,2,2023
2023-06-02,22,6,2,2,2023
2023-06-03,22,6,2,2,2023
2023-06-04,22,6,2,2,2023
2023-06-05,23,6,2,2,2023
2023-06-06,23,6,2,2,2023
2023-06-07,23,6,2,2,2023
2023-06-08,23,6,2,2,2023
2023-06-09,23,6,2,2,2023
2023-06-10,23,6,2,2,2023
2023-06-11,23,6,2,2,2023
2023-06-12,24,6,2,2,2023
2023-06-13,24,6,2,2,2023
2023-06-14,24,6,2,2,2023
2023-06-15,24,6,2,2,2023
2023-06-16,24,6,2,2,2023
2023-06-17,24,6,2,2,2023
2023-06-18,24,6,2,2,2023
2023-06-19,25,6,2,2,2023
2023-06-20,25,6,2,2,2023
2023-06-21,25,6,2,2,2023
2023-06-22,25,6,2,2,2023
2023-06-23,25,6,2,2,2023
2023-06-24,25,6,2,2,2023
2023-06-25,25,6,2,2,2023
2023-06-26,26,6,2,2,2023
2023-06-27,26,6,2,2,2023
2023-06-28,26,6,2,2,2023
2023-06-29,26,6,2,2,2023
2023-06-30,26,6,2,2,2023
2023-07-01,26,7,3,1,2023
2023-07-02,26,7,3,1,2023
2023-07-03,27,7,3,1,2023
2023-07-04,27,7,3,1,2023
2023-07-05,27,7,3,1,2023
2023-07-06,27,7,3,1,2023
2023-07-07,27,7,3,1,2023
2023-07-08,27,7,3,1,2023
2023-07-09,27,7,3,1,2023
2023-07-10,28,7,3,1,2023
2023-07-11,28,7,3,1,2023
2023-07-12,28,7,3,1,2023
2023-07-13,28,7,3,1,2023
2023-07-14,28,7,3,1,2023
2023-07-15,28,7,3,1,2023
2023-07-16,28,7,3,1,2023
2023-07-17,29,7,3,1,2023
2023-07-18,29,7,3,1,2023
2023-07-19,29,7,3,1,2023
2023-07-20,29,7,3,1,2023
2023-07-21,29,7,3,1,2023
2023-07-22,29,7,3,1,2023
2023-07-23,29,7,3,1,2023
2023-07-24,30,7,3,1,2023
2023-07-25,30,7,3,1,2023
2023-07-26,30,7,3,1,2023
2023-07-27,30,7,3,1,2023
2023-07-28,30,7,3,1,2023
2023-07-29,30,7,3,1,2023
2023-07-30,30,7,3,1,2023
2023-07-31,31,7,3,1,2023
2023-08-01,31,8,3,1,2023
2023-08-02,31,8,3,1,2023
2023-08-03,31,8,3,1,2023
2023-08-04,31,8,3,1,2023
2023-08-05,31,8,3,1,2023
2023-08-06,31,8,3,1,2023
2023-08-07,32,8,3,1,2023
2023-08-08,32,8,3,1,2023
2023-08-09,32,8,3,1,2023
2023-08-10,32,8,3,1,2023
2023-08-11,32,8,3,1,2023
2023-08-12,32,8,3,1,2023
2023-08-13,32,8,3,1,2023
2023-08-14,33,8,3,1,2023
2023-08-15,33,8,3,1,2023
2023-08-16,33,8,3,1,2023
2023-08-17,33,8,3,1,2023
2023-08-18,33,8,3,1,2023
2023-08-19,33,8,3,1,2023
2023-08-20,33,8,3,1,2023
2023-08-21,34,8,3,1,2023
2023-08-22,34,8,3,1,2023
2023-08-23,34,8,3,1,2023
2023-08-24,34,8,3,1,2023
2023-08-25,34,8,3,1,2023
2023-08-26,34,8,3,1,2023
2023-08-27,34,8,3,1,2023
2023-08-28,35,8,3,1,2023
2023-08-29,35,8,3,1,2023
2023-08-30,35,8,3,1,2023
2023-08-31,35,8,3,1,2023
2023-09-01,35,9,3,1,2023
2023-09-02,35,9,3,1,2023
2023-09-03,35,9,3,1,2023
2023-09-04,36,9,3,1,2023
2023-09-05,36,9,3,1,2023
2023-09-06,36,9,3,1,2023
2023-09-07,36,9,3,1,2023
2023-09-08,36,9,3,1,2023
2023-09-09,36,9,3,1,2023
2023-09-10,36,9,3,1,2023
2023-09-11,37,9,3,1,2023
2023-09-12,37,9,3,1,2023
2023-09-13,37,9,3,1,2023
2023-09-14,37,9,3,1,2023
2023-09-15,37,9,3,1,2023
2023-09-16,37,9,3,1,2023
2023-09-17,37,9,3,1,2023
2023-09-18,38,9,3,1,2023
2023-09-19,38,9,3,1,2023
2023-09-20,38,9,3,1,2023
2023-09-21,38,9,3,1,2023
2023-09-22,38,9,3,1,2023
2023-09-23,38,9,3,1,2023
2023-09-24,38,9,3,1,2023
2023-09-25,39,9,3,1,2023
2023-09-26,39,9,3,1,2023
2023-09-27,39,9,3,1,2023
2023-09-28,39,9,3,1,2023
2023-09-29,39,9,3,1,2023
2023-09-30,39,9,3,1,2023
2023-10-01,39,10,4,1,2023
2023-10-02,40,10,4,1,2023
2023-10-03,40,10,4,1,2023
2023-10-04,40,10,4,1,2023
2023-10-05,40,10,4,1,2023
2023-10-06,40,10,4,1,2023
2023-10-07,40,10,4,1,2023
2023-10-08,40,10,4,1,2023
2023-10-09,41,10,4,1,2023
2023-10-10,41,10,4,1,2023
2023-10-11,41,10,4,1,2023
2023-10-12,41,10,4,1,2023
2023-10-13,41,10,4,1,2023
2023-10-14,41,10,4,1,2023
2023-10-15,41,10,4,1,2023
2023-10-16,42,10,4,1,2023
2023-10-17,42,10,4,1,2023
2023-10-18,42,10,4,1,2023
2023-10-19,42,10,4,1,2023
2023-10-20,42,10,4,1,2023
2023-10-21,42,10,4,1,2023
2023-10-22,42,10,4,1,2023
2023-10-23,43,10,4,1,2023
2023-10-24,43,10,4,1,2023
2023-10-25,43,10,4,1,2023
2023-10-26,43,10,4,1,2023
2023-10-27,43,10,4,1,2023
2023-10-28,43,10,4,1,2023
2023-10-29,43,10,4,1,2023
2023-10-30,44,10,4,1,2023
2023-10-31,44,10,4,1,2023
2023-11-01,44,11,4,1,2023
2023-11-02,44,11,4,1,2023
2023-11-03,44,11,4,1,2023
2023-11-04,44,11,4,1,2023
2023-11-05,44,11,4,1,2023
2023-11-06,45,11,4,1,2023
2023-11-07,45,11,4,1,2023
2023-11-08,45,11,4,1,2023
2023-11-09,45,11,4,1,2023
2023-11-10,45,11,4,1,2023
2023-11-11,45,11,4,1,2023
2023-11-12,45,11,4,1,2023
2023-11-13,46,11,4,1,2023
2023-11-14,46,11,4,1,2023
2023-11-15,46,11,4,1,2023
2023-11-16,46,11,4,1,2023
2023-11-17,46,11,4,1,2023
2023-11-18,46,11,4,1,2023
2023-11-19,46,11,4,1,2023
2023-11-20,47,11,4,1,2023
2023-11-21,47,11,4,1,2023
2023-11-22,47,11,4,1,2023
2023-11-23,47,11,4,1,2023
2023-11-24,47,11,4,1,2023
2023-11-25,47,11,4,1,2023
2023-11-26,47,11,4,1,2023
2023-11-27,48,11,4,1,2023
2023-11-28,48,11,4,1,2023
2023-11-29,48,11,4,1,2023
2023-11-30,48,11,4,1,2023
2023-12-01,48,12,4,1,2023
2023-12-02,48,12,4,1,2023
2023-12-03,48,12,4,1,2023
2023-12-04,49,12,4,1,2023
2023-12-05,49,12,4,1,2023
2023-12-06,49,12,4,1,2023
2023-12-07,49,12,4,1,2023
2023-12-08,49,12,4,1,2023
2023-12-09,49,12,4,1,2023
2023-12-10,49,12,4,1,2023
2023-12-11,50,12,4,1,2023
2023-12-12,50,12,4,1,2023
2023-12-13,50,12,4,1,2023
2023-12-14,50,12,4,1,2023
2023-12-15,50,12,4,1,2023
2023-12-16,50,12,4,1,2023
2023-12-17,50,12,4,1,2023
2023-12-18,51,12,4,1,2023
2023-12-19,51,12,4,1,2023
2023-12-20,51,12,4,1,2023
2023-12-21,51,12,4,1,2023
2023-12-22,51,12,4,1,2023
2023-12-23,51,12,4,1,2023
2023-12-24,51,12,4,1,2023
2023-12-25,52,12,4,1,2023
2023-12-26,52,12,4,1,2023
2023-12-27,52,12,4,1,2023
2023-12-28,52,12,4,1,2023
2023-12-29,52,12,4,1,2023
2023-12-30,52,12,4,1,2023
2023-12-31,52,12,4,1,2023
